sample	SampleName
Sequencing_Method	Description
Analyte	Description
Biopsy_Site	Feature
Specific_Biopsy_Site	Feature
Metastatic_Biopsy	Feature
Sample_Treated	Feature
Sample_Treatment	Feature
Sample_Type	Feature
Normal	Feature
Primary_Tumor	Feature
Read_Length	Description
Batch_ID	Description
Sequencer	Description
Sequencer_ID	Description
Sample_Prep	Description
FFPE	Description
Storage	Description
Storage_Method	Description
File_Prefix	Description
Run_Name	Description
Pre_On_Treatment_Match	Description
Somatic_Workflow_Match	Description
Center	Description
Patient_ID	Description
TCGA_Study	Feature
TCGA_Subtype	Description
Cancer_Tissue	SampleType
Tissue_Subtype	Feature
M_Stage	Feature
Metastasized	Feature
Clinical_Stage	Feature
Response	Feature
Responder	Feature
Progression	Feature
Clinical_Benefit	Feature
OS	SurvivalID
OS.time	SurvivalTime
OS.event	NA
PFI	SurvivalID
PFI.time	SurvivalTime
PFI.event	NA
Age	Description
Sex	Feature
Race	Feature
Caucasian	Feature
Asian	Feature
African	Feature
Nat_American	Feature
Pac_Islander	Feature
Likely_Caucasian	Feature
ICI_Rx	Feature
aPD1_Rx	Feature
aCTLA4_Rx	Feature
ICI_Pathway	Feature
ICI_Target	Feature
Non_ICI_Rx	Feature
NeoICI_Rx	Feature
ICI_Tx	Feature
aPD1_Tx	Feature
aCTLA4_Tx	Feature
aCTLA4_aPD1_Tx	Feature
Non_ICI_Tx	Feature
NeoICI_Tx	Feature
Prior_Rx	Feature
Prior_ICI_Rx	Feature
Prior_Tx	Feature
Prior_ICI_Tx	Feature
Prior_aCTLA4_Tx	Feature
Prior_aMAPK_Tx	Feature
Subsq_Rx	Feature
Subsq_ICI_Rx	Feature
Subsq_Tx	Feature
Subsq_ICI_Tx	Feature
Subsq_aCTLA4_aPD1_Tx	Feature
Subsq_aCTLA4_Tx	Feature
Subsq_aMAPK_Tx	Feature
Patient_Name	Description
Dataset	Description
IMPRES	Description
TIDE_No_Benefits	Feature
TIDE_Responder	Feature
TIDE	Description
TIDE_IFNG	Description
TIDE_MSI	Description
TIDE_CD274	Description
TIDE_CD8	Description
TIDE_CTL_Flag	Feature
TIDE_Dysfunction	Description
TIDE_Exclusion	Description
TIDE_MDSC	Description
TIDE_CAF	Description
TIDE_TAM_M2	Description
TIDE_CTL	Description
Dataset_Cancer_Tissue	Description
Dataset_Cancer_Tissue	Description
Choueiri_CCR_2016_Kidney	Feature
Gide_Cell_2019_Skin	Feature
HugoLo_IPRES_2016_Skin	Feature
IMmotion150_Kidney	Feature
IMVigor210_Bladder	Feature
Kim_NatMed_2018_Stomach	Feature
Liu_NatMed_2019_Skin	Feature
Miao_Science_2018_Kidney	Feature
Prins_GBM_2019_Brain	Feature
Riaz_Nivolumab_2017_Skin	Feature
VanAllen_antiCTLA4_2015_Skin	Feature
Zhao_NatMed_2019_Brain	Feature
Feature	Description
B_cell_quantiseq_ImmDeconv	Feature
Macrophage_M1_quantiseq_ImmDeconv	Feature
Macrophage_M2_quantiseq_ImmDeconv	Feature
Monocyte_quantiseq_ImmDeconv	Feature
Neutrophil_quantiseq_ImmDeconv	Feature
NK_cell_quantiseq_ImmDeconv	Feature
T_cell_CD4+_(non-regulatory)_quantiseq_ImmDeconv	Feature
T_cell_CD8+_quantiseq_ImmDeconv	Feature
T_cell_regulatory_(Tregs)_quantiseq_ImmDeconv	Feature
Myeloid_dendritic_cell_quantiseq_ImmDeconv	Feature
uncharacterized_cell_quantiseq_ImmDeconv	Feature
B_cell_naive_cibersort_ImmDeconv	Feature
B_cell_memory_cibersort_ImmDeconv	Feature
B_cell_plasma_cibersort_ImmDeconv	Feature
T_cell_CD8+_cibersort_ImmDeconv	Feature
T_cell_CD4+_naive_cibersort_ImmDeconv	Feature
T_cell_CD4+_memory_resting_cibersort_ImmDeconv	Feature
T_cell_CD4+_memory_activated_cibersort_ImmDeconv	Feature
T_cell_follicular_helper_cibersort_ImmDeconv	Feature
T_cell_regulatory_(Tregs)_cibersort_ImmDeconv	Feature
T_cell_gamma_delta_cibersort_ImmDeconv	Feature
NK_cell_resting_cibersort_ImmDeconv	Feature
NK_cell_activated_cibersort_ImmDeconv	Feature
Monocyte_cibersort_ImmDeconv	Feature
Macrophage_M0_cibersort_ImmDeconv	Feature
Macrophage_M1_cibersort_ImmDeconv	Feature
Macrophage_M2_cibersort_ImmDeconv	Feature
Myeloid_dendritic_cell_resting_cibersort_ImmDeconv	Feature
Myeloid_dendritic_cell_activated_cibersort_ImmDeconv	Feature
Mast_cell_activated_cibersort_ImmDeconv	Feature
Mast_cell_resting_cibersort_ImmDeconv	Feature
Eosinophil_cibersort_ImmDeconv	Feature
Neutrophil_cibersort_ImmDeconv	Feature
B_cell_naive_cibersort_abs_ImmDeconv	Feature
B_cell_memory_cibersort_abs_ImmDeconv	Feature
B_cell_plasma_cibersort_abs_ImmDeconv	Feature
T_cell_CD8+_cibersort_abs_ImmDeconv	Feature
T_cell_CD4+_naive_cibersort_abs_ImmDeconv	Feature
T_cell_CD4+_memory_resting_cibersort_abs_ImmDeconv	Feature
T_cell_CD4+_memory_activated_cibersort_abs_ImmDeconv	Feature
T_cell_follicular_helper_cibersort_abs_ImmDeconv	Feature
T_cell_regulatory_(Tregs)_cibersort_abs_ImmDeconv	Feature
T_cell_gamma_delta_cibersort_abs_ImmDeconv	Feature
NK_cell_resting_cibersort_abs_ImmDeconv	Feature
NK_cell_activated_cibersort_abs_ImmDeconv	Feature
Monocyte_cibersort_abs_ImmDeconv	Feature
Macrophage_M0_cibersort_abs_ImmDeconv	Feature
Macrophage_M1_cibersort_abs_ImmDeconv	Feature
Macrophage_M2_cibersort_abs_ImmDeconv	Feature
Myeloid_dendritic_cell_resting_cibersort_abs_ImmDeconv	Feature
Myeloid_dendritic_cell_activated_cibersort_abs_ImmDeconv	Feature
Mast_cell_activated_cibersort_abs_ImmDeconv	Feature
Mast_cell_resting_cibersort_abs_ImmDeconv	Feature
Eosinophil_cibersort_abs_ImmDeconv	Feature
Neutrophil_cibersort_abs_ImmDeconv	Feature
T_cell_mcp_counter_ImmDeconv	Feature
T_cell_CD8+_mcp_counter_ImmDeconv	Feature
cytotoxicity_score_mcp_counter_ImmDeconv	Feature
NK_cell_mcp_counter_ImmDeconv	Feature
B_cell_mcp_counter_ImmDeconv	Feature
Monocyte_mcp_counter_ImmDeconv	Feature
Macrophage/Monocyte_mcp_counter_ImmDeconv	Feature
Myeloid_dendritic_cell_mcp_counter_ImmDeconv	Feature
Neutrophil_mcp_counter_ImmDeconv	Feature
Endothelial_cell_mcp_counter_ImmDeconv	Feature
Cancer_associated_fibroblast_mcp_counter_ImmDeconv	Feature
Myeloid_dendritic_cell_activated_xcell_ImmDeconv	Feature
B_cell_xcell_ImmDeconv	Feature
T_cell_CD4+_memory_xcell_ImmDeconv	Feature
T_cell_CD4+_naive_xcell_ImmDeconv	Feature
T_cell_CD4+_(non-regulatory)_xcell_ImmDeconv	Feature
T_cell_CD4+_central_memory_xcell_ImmDeconv	Feature
T_cell_CD4+_effector_memory_xcell_ImmDeconv	Feature
T_cell_CD8+_naive_xcell_ImmDeconv	Feature
T_cell_CD8+_xcell_ImmDeconv	Feature
T_cell_CD8+_central_memory_xcell_ImmDeconv	Feature
T_cell_CD8+_effector_memory_xcell_ImmDeconv	Feature
Class-switched_memory_B_cell_xcell_ImmDeconv	Feature
Common_lymphoid_progenitor_xcell_ImmDeconv	Feature
Common_myeloid_progenitor_xcell_ImmDeconv	Feature
Myeloid_dendritic_cell_xcell_ImmDeconv	Feature
Endothelial_cell_xcell_ImmDeconv	Feature
Eosinophil_xcell_ImmDeconv	Feature
Cancer_associated_fibroblast_xcell_ImmDeconv	Feature
Granulocyte-monocyte_progenitor_xcell_ImmDeconv	Feature
Hematopoietic_stem_cell_xcell_ImmDeconv	Feature
Macrophage_xcell_ImmDeconv	Feature
